,gender,indications,nctId,phase,recruitment,sponsors,therapies,title,updateDate,variantRequirementDetails,variantRequirements
0,both,"[{'id': 60080, 'name': 'Her2-receptor negative breast cancer', 'source': 'DOID'}]",NCT02163694,Phase III,Recruiting,AbbVie ,"[{'id': 954, 'therapyName': 'Veliparib'}, {'id': 1124, 'therapyName': 'Paclitaxel + Carboplatin'}]","A Phase 3 Randomized, Placebo-controlled Trial of Carboplatin and Paclitaxel With or Without Veliparib (ABT-888) in HER2-negative Metastatic or Locally Advanced Unresectable BRCA-associated Breast Cancer",05/05/2015,"[{'molecularProfile': {'id': 1184, 'profileName': 'ERBB2 neg'}, 'requirementType': 'required'}, {'molecularProfile': {'id': 1205, 'profileName': 'BRCA1 mutant'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1206, 'profileName': 'BRCA2 mutant'}, 'requirementType': 'partial'}]",yes
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT02163733,Phase I,"Active, not recruiting",AstraZeneca,"[{'id': 660, 'therapyName': 'Osimertinib'}]",Study to Determine the Effect of Food on the Blood Levels of AZD9291 Following Oral Dosing of a Tablet Formulation in Patients With Non-Small Cell Lung Cancer,05/07/2015,"[{'molecularProfile': {'id': 369, 'profileName': 'EGFR L858R'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 367, 'profileName': 'EGFR exon 19 del'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1051, 'profileName': 'EGFR L861Q'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1207, 'profileName': 'EGFR G719X'}, 'requirementType': 'partial'}]",yes
0,both,"[{'id': 8567, 'name': ""Hodgkin's lymphoma"", 'source': 'DOID'}]",NCT02164006,Phase I,"Active, not recruiting","TG Therapeutics, Inc. ","[{'id': 2022, 'therapyName': 'TGR-1202'}]","Novel PI3K Delta Inhibitor TGR-1202, in Combination With Brentuximab Vedotin for Hodgkin's Lymphoma Patients",02/04/2016,[],no
0,both,"[{'id': 9253, 'name': 'gastrointestinal stromal tumor', 'source': 'DOID'}]",NCT02164240,Phase I,"Active, not recruiting",Dana-Farber Cancer Institute ,"[{'id': 930, 'therapyName': 'Sunitinib'}, {'id': 890, 'therapyName': 'Regorafenib'}]",Phase Ib Study of SUnitinib Alternating With REgorafenib in Patients With Metastatic and/or Unresectable GIST,03/24/2017,[],no
0,both,"[{'id': 2893, 'name': 'cervix carcinoma', 'source': 'DOID'}]",NCT02164461,Phase Ib/II,"Active, not recruiting","Advaxis, Inc. ","[{'id': 3090, 'therapyName': 'ADXS11-001'}]",ADXS11-001 High Dose HPV+ Cervical Cancer,06/21/2016,[],no
0,both,"[{'id': 4450, 'name': 'renal cell carcinoma', 'source': 'DOID'}, {'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT02164838,Phase I,"Active, not recruiting",Children's Oncology Group,"[{'id': 649, 'therapyName': 'Axitinib'}]",VEGF Receptor Tyrosine Kinase Inhibitor Axitinib in Children With Recurrent or Refractory Solid Tumors,06/23/2017,[],no
0,both,"[{'id': 234, 'name': 'colon adenocarcinoma', 'source': 'DOID'}, {'id': 1996, 'name': 'rectum adenocarcinoma', 'source': 'DOID'}]",NCT02164916,Phase II,"Active, not recruiting",Southwest Oncology Group ,"[{'id': 1874, 'therapyName': 'Cetuximab + Irinotecan'}, {'id': 1331, 'therapyName': 'Vemurafenib + Cetuximab + Irinotecan '}]",S1406 Phase II Study of Irinotecan and Cetuximab With or Without Vemurafenib in BRAF Mutant Metastatic Colorectal Cancer,04/07/2016,"[{'molecularProfile': {'id': 1, 'profileName': 'BRAF V600E'}, 'requirementType': 'required'}]",yes
0,female,"[{'id': 4001, 'name': 'ovarian carcinoma', 'source': 'DOID'}, {'id': 1963, 'name': 'fallopian tube carcinoma', 'source': 'DOID'}, {'id': 1791, 'name': 'peritoneal carcinoma', 'source': 'DOID'}]",NCT02166905,Phase Ib/II,Recruiting,Roswell Park Cancer Institute ,"[{'id': 2595, 'therapyName': 'poly ICLC  '}, {'id': 1324, 'therapyName': 'DEC-205-NY-ESO-1 fusion protein vaccine'}, {'id': 2575, 'therapyName': 'Epacadostat'}]","DEC-205/NY-ESO-1 Fusion Protein CDX-1401, Poly ICLC, and IDO1 Inhibitor INCB024360 in Treating Patients With Ovarian, Fallopian Tube, or Primary Peritoneal Cancer in Remission",08/11/2015,[],no
0,female,"[{'id': 60079, 'name': 'Her2-receptor positive breast cancer', 'source': 'DOID'}]",NCT02167854,Phase I,Recruiting,Memorial Sloan-Kettering Cancer Center,"[{'id': 2059, 'therapyName': 'BYL719 + LJM716 + Trastuzumab'}]","Open-Label Study Evaluating the Safety and Tolerability of LJM716, BYL719 and Trastuzumab in Patients With Metastatic HER2+ Breast Cancer",08/12/2016,"[{'molecularProfile': {'id': 429, 'profileName': 'PIK3CA mutant'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1187, 'profileName': 'ERBB2 positive'}, 'requirementType': 'required'}]",yes
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}, {'id': 9256, 'name': 'colorectal cancer', 'source': 'DOID'}, {'id': 1612, 'name': 'breast cancer', 'source': 'DOID'}, {'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT02168777,Phase Ib/II,Terminated,Bayer,"[{'id': 1424, 'therapyName': 'Regorafenib + Refametinib'}, {'id': 888, 'therapyName': 'Refametinib'}]","Refametinib (BAY86-9766) in Combination With Regorafenib (Stivarga, BAY73-4506) in Patients With Advanced or Metastatic Cancer",12/03/2016,"[{'molecularProfile': {'id': 1184, 'profileName': 'ERBB2 neg'}, 'requirementType': 'partial'}]",yes
0,both,"[{'id': 4007, 'name': 'bladder carcinoma', 'source': 'DOID'}]",NCT02169284,Phase II,Recruiting,National Cancer Institute (NCI),"[{'id': 4, 'therapyName': 'Erlotinib'}]",Erlotinib Hydrochloride in Treating Patients With Bladder Cancer Undergoing Surgery,03/19/2015,[],no
0,both,"[{'id': 4450, 'name': 'renal cell carcinoma', 'source': 'DOID'}]",NCT02170389,Phase I,Withdrawn,Roswell Park Cancer Institute ,"[{'id': 4075, 'therapyName': 'AGS-003'}]",Vaccine Therapy Before Surgery in Treating Patients With Localized Kidney Cancer,09/19/2017,[],no
0,,[],NCT02171286,,Completed,,[],The OncoPanel Pilot (TOP) Study,04/15/2017,[],no
0,both,"[{'id': 1909, 'name': 'melanoma', 'source': 'DOID'}, {'id': 769, 'name': 'neuroblastoma', 'source': 'DOID'}, {'id': 3347, 'name': 'osteosarcoma', 'source': 'DOID'}, {'id': 3369, 'name': 'Ewing sarcoma', 'source': 'DOID'}, {'id': 1115, 'name': 'sarcoma', 'source': 'DOID'}, {'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT02173093,Phase Ib/II,Recruiting,Barbara Ann Karmanos Cancer Institute,"[{'id': 2058, 'therapyName': 'Aldesleukin + GD2Bi-a ATC + Sargramostim '}]",Activated T Cells Armed With GD2 Bispecific Antibody in Children and Young Adults With Neuroblastoma and Osteosarcoma,06/09/2017,[],no
0,both,"[{'id': 4450, 'name': 'renal cell carcinoma', 'source': 'DOID'}, {'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}, {'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}, {'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}, {'id': 1909, 'name': 'melanoma', 'source': 'DOID'}]",NCT02174172,Phase I,Recruiting,Hoffmann-La Roche ,"[{'id': 6252, 'therapyName': 'Atezolizumab + Bevacizumab +Peg-interferon alfa-2a'}, {'id': 6253, 'therapyName': 'Atezolizumab + Interferon alfa-2b'}, {'id': 6250, 'therapyName': 'Atezolizumab + Peg-interferon alfa-2a'}, {'id': 6249, 'therapyName': 'Atezolizumab + Ipilimumab'}, {'id': 1975, 'therapyName': 'Atezolizumab + Obinutuzumab'}]",A Study to Assess the Safety and Tolerability of MPDL3280A in Combination With Other Immune-modulating Therapies in Patients With Locally Advanced or Metastatic Solid Tumors,09/26/2017,[],no
0,both,"[{'id': 684, 'name': 'hepatocellular carcinoma', 'source': 'DOID'}]",NCT02174549,Phase I,Recruiting,Teclison Ltd. ,"[{'id': 3028, 'therapyName': 'tirapazamine'}]",Dose-defining Study of Tirapazamine Combined With Embolization in Liver Cancer,09/06/2015,[],no
0,male,"[{'id': 2526, 'name': 'prostate adenocarcinoma', 'source': 'DOID'}]",NCT02176161,Phase II,Recruiting,Winthrop University Hospital,"[{'id': 1031, 'therapyName': 'Metformin'}]",Metformin Prostate Cancer Adjuvant Trial,12/22/2014,[],no
0,both,"[{'id': 11054, 'name': 'urinary bladder cancer', 'source': 'DOID'}]",NCT02177695,Phase II,Recruiting,Southwest Oncology Group ,"[{'id': 1467, 'therapyName': 'Gemcitabine + Cisplatin'}, {'id': 2564, 'therapyName': 'Aldoxorubicin + Cisplatin + Filgrastim + Methotrexate + Vinblastine'}]","S1314, Co-expression Extrapolation (COXEN) Program to Predict Chemotherapy Response in Patients With Bladder Cancer",04/22/2015,[],no
0,both,"[{'id': 9119, 'name': 'acute myeloid leukemia', 'source': 'DOID'}]",NCT02177812,Phase I,Recruiting,GlaxoSmithKline ,"[{'id': 3014, 'therapyName': 'GSK2879552 '}]",A Phase I Dose Escalation Study of GSK2879552 in Subjects With Acute Myeloid Leukemia (AML),02/25/2016,[],no
0,both,[],NCT02177825,Phase II,Recruiting,St. Justine's Hospital ,"[{'id': 770, 'therapyName': 'Imatinib'}]",Study of Imatinib Mesylate in Neurofibromatosis Type I Patients Aged 2 to 21 With Plexiform Neurofibromas,03/26/2015,[],no
0,both,"[{'id': 2596, 'name': 'larynx cancer', 'source': 'DOID'}, {'id': 8533, 'name': 'hypopharynx cancer', 'source': 'DOID'}, {'id': 8557, 'name': 'oropharynx cancer', 'source': 'DOID'}]",NCT02177838,Phase II,Suspended,"Rutgers, The State University of New Jersey","[{'id': 1915, 'therapyName': 'Cetuximab + Cisplatin'}]",Cetuximab and Radiation Therapy in Treating Patients With Stage III-IV Head and Neck Cancer,09/29/2017,[],no
0,both,"[{'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}]",NCT02178072,Phase II,Recruiting,Yale University ,"[{'id': 651, 'therapyName': 'Azacitidine'}]","Window Trial 5-aza in HNSCC, T-tare",07/20/2016,[],no
0,both,"[{'id': 4074, 'name': 'pancreatic adenocarcinoma', 'source': 'DOID'}]",NCT02178436,Phase Ib/II,Suspended,Barbara Ann Karmanos Cancer Institute ,"[{'id': 2560, 'therapyName': 'Gemcitabine + nab-paclitaxel + Selinexor'}]","Selinexor, Gemcitabine Hydrochloride, and Paclitaxel Albumin-Stabilized Nanoparticle Formulation in Treating Patients With Metastatic Pancreatic Cancer",02/08/2017,[],no
0,both,"[{'id': 1996, 'name': 'rectum adenocarcinoma', 'source': 'DOID'}]",NCT02178644,Phase I,Recruiting,Yale University ,"[{'id': 1699, 'therapyName': 'KD018'}, {'id': 1105, 'therapyName': 'Capecitabine'}]",Pilot Trial of KD018 With Neo-Adjuvant Concurrent Chemo-Radiation Therapy in Patients With Locally Advanced Rectal Cancer,08/27/2015,[],no
0,both,"[{'id': 1909, 'name': 'melanoma', 'source': 'DOID'}, {'id': 2870, 'name': 'endometrial adenocarcinoma', 'source': 'DOID'}, {'id': 4006, 'name': 'bladder urothelial carcinoma', 'source': 'DOID'}, {'id': 5974, 'name': 'renal pelvis transitional cell carcinoma', 'source': 'DOID'}, {'id': 6888, 'name': 'ureter transitional cell carcinoma', 'source': 'DOID'}, {'id': 4450, 'name': 'renal cell carcinoma', 'source': 'DOID'}, {'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}, {'id': 4013, 'name': 'urethra transitional cell carcinoma', 'source': 'DOID'}, {'id': 60080, 'name': 'Her2-receptor negative breast cancer', 'source': 'DOID'}, {'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}]",NCT02178722,Phase Ib/II,Recruiting,Incyte Corporation ,"[{'id': 1447, 'therapyName': 'Pembrolizumab'}, {'id': 2575, 'therapyName': 'Epacadostat'}]","A Phase 1/2 Study Exploring the Safety, Tolerability, and Efficacy of MK-3475 in Combination With INCB024360 in Subjects With Selected Solid Tumors and Advanced NSCLC (INCB 24360-202 / MK-3475-037 / KEYNOTE-037)",04/23/2015,[],yes
0,both,"[{'id': 3717, 'name': 'gastric adenocarcinoma', 'source': 'DOID'}, {'id': 4944, 'name': 'gastroesophageal junction adenocarcinoma', 'source': 'DOID'}]",NCT02178956,Phase III,"Active, not recruiting","Boston Biomedical, Inc ","[{'id': 2057, 'therapyName': 'BBI608'}, {'id': 1103, 'therapyName': 'Paclitaxel'}]",A Study of BBI608 Plus Weekly Paclitaxel to Treat Gastric and Gastro-Esophageal Junction Cancer,12/21/2016,[],no
0,both,"[{'id': 3068, 'name': 'glioblastoma multiforme', 'source': 'DOID'}]",NCT02179086,Phase II,Recruiting,NRG Oncology,"[{'id': 1141, 'therapyName': 'Temozolomide'}]",Dose-Escalated Photon IMRT or Proton Beam Radiation Therapy Versus Standard-Dose Radiation Therapy and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma,02/02/2015,[],no
0,,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT02179671,Phase II,Completed,AstraZeneca,"[{'id': 1117, 'therapyName': 'Selumetinib + Docetaxel'}, {'id': 751, 'therapyName': 'Gefitinib'}, {'id': 1356, 'therapyName': 'Durvalumab'}, {'id': 660, 'therapyName': 'Osimertinib'}, {'id': 1652, 'therapyName': 'Tremelimumab'}]","Immune-Modulated Study of Selected Small Molecules (Gefitinib, AZD9291, or Selumetinib + Docetaxel) or a 1st Immune-Mediated Therapy (IMT; Tremelimumab) With a Sequential Switch to a 2nd IMT (MEDI4736) in Patients With Locally Advanced or Metastatic Non-Small-Cell Lung Cancer",07/26/2016,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT02179918,Phase I,Completed,Pfizer,"[{'id': 5086, 'therapyName': 'Utomilumab'}, {'id': 1447, 'therapyName': 'Pembrolizumab'}]",A Study Of 4-1BB Agonist PF-05082566 Plus PD-1 Inhibitor MK-3475 In Patients With Solid Tumors (B1641003/KEYNOTE-0036),10/10/2017,[],no
0,both,"[{'id': 1115, 'name': 'sarcoma', 'source': 'DOID'}]",NCT02180698,Phase I,Recruiting,Fred Hutchinson Cancer Research Center ,"[{'id': 3576, 'therapyName': 'GLA-SE'}]",TLR4 Agonist GLA-SE and Radiation Therapy in Treating Patients With Soft Tissue Sarcoma That Is Metastatic or Cannot Be Removed by Surgery,03/20/2016,[],no
0,both,"[{'id': 60060, 'name': 'non-Hodgkin lymphoma', 'source': 'DOID'}]",NCT02180711,Phase I,"Active, not recruiting",Acerta Pharma BV,"[{'id': 1605, 'therapyName': 'Acalabrutinib'}]","An Open-label, Phase 1b Study of ACP 196 in Subjects With Follicular Lymphoma",12/06/2016,[],no
0,both,"[{'id': 50747, 'name': 'lymphoplasmacytic lymphoma', 'source': 'DOID'}]",NCT02180724,Phase I,"Active, not recruiting",Acerta Pharma BV,"[{'id': 1605, 'therapyName': 'Acalabrutinib'}]","An Open-label, Phase 1b Study of ACP 196 in Subjects With Waldenström Macroglobulinemia",01/21/2016,[],no
0,both,"[{'id': 1115, 'name': 'sarcoma', 'source': 'DOID'}]",NCT02180867,Phase II,Recruiting,National Cancer Institute (NCI),"[{'id': 848, 'therapyName': 'Pazopanib'}, {'id': 1472, 'therapyName': 'Doxorubicin + Ifosfamide'}]",Radiation Therapy With or Without Combination Chemotherapy or Pazopanib Hydrochloride Before Surgery in Treating Patients With Newly Diagnosed Non-Rhabdomyosarcoma Soft Tissue Sarcomas That Can be Removed by Surgery (PAZNTIS),10/08/2014,[],no
0,both,"[{'id': 50749, 'name': 'peripheral T-cell lymphoma', 'source': 'DOID'}, {'id': 50745, 'name': 'diffuse large B-cell lymphoma', 'source': 'DOID'}, {'id': 8567, 'name': ""Hodgkin's lymphoma"", 'source': 'DOID'}]",NCT02181218,Phase I,Recruiting,Washington University School of Medicine,"[{'id': 1476, 'therapyName': 'Pegfilgrastim'}, {'id': 1075, 'therapyName': 'romidepsin'}, {'id': 1611, 'therapyName': 'Gemcitabine + Oxaliplatin + Dexamethasone'}]","Phase I Study of Romidepsin, Gemcitabine, Oxaliplatin, and Dexamethasone in Patients With Relapsed/Refractory Aggressive Lymphomas",02/06/2015,[],no
0,both,"[{'id': 9119, 'name': 'acute myeloid leukemia', 'source': 'DOID'}, {'id': 9952, 'name': 'acute lymphocytic leukemia', 'source': 'DOID'}]",NCT02181478,Phase I,Recruiting,Case Comprehensive Cancer Center,"[{'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}]",Intra-Osseous Co-Transplant of UCB and hMSC,07/25/2015,[],no
0,both,"[{'id': 8567, 'name': ""Hodgkin's lymphoma"", 'source': 'DOID'}]",NCT02181738,Phase II,"Active, not recruiting",Bristol-Myers Squibb,"[{'id': 1312, 'therapyName': 'Nivolumab'}]",Study of Nivolumab in Subjects With Hodgkin's Lymphoma (Registrational) (CheckMate 205),12/02/2016,[],no
0,male,"[{'id': 2526, 'name': 'prostate adenocarcinoma', 'source': 'DOID'}]",NCT02182622,Phase I,Unknown status,Martin Gutierrez ,"[{'id': 720, 'therapyName': 'Docetaxel'}, {'id': 1428, 'therapyName': 'Sonidegib'}]",LDE225 + Docetaxel/Prednisone for Adv/Met Castrate Resistant Prostate Cancer w/ Disease Progression After Docetaxel,06/20/2017,[],no
0,both,"[{'id': 4074, 'name': 'pancreatic adenocarcinoma', 'source': 'DOID'}]",NCT02184195,Phase III,Recruiting,AstraZeneca,"[{'id': 837, 'therapyName': 'Olaparib'}]",Olaparib in gBRCA Mutated Pancreatic Cancer Whose Disease Has Not Progressed on First Line Platinum-Based Chemotherapy,12/30/2014,"[{'molecularProfile': {'id': 1206, 'profileName': 'BRCA2 mutant'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1205, 'profileName': 'BRCA1 mutant'}, 'requirementType': 'partial'}]",yes
0,both,"[{'id': 4556, 'name': 'lung large cell carcinoma', 'source': 'DOID'}, {'id': 3910, 'name': 'lung adenocarcinoma', 'source': 'DOID'}]",NCT02185690,Phase I,Not yet recruiting,"University Health Network, Toronto, Novartis","[{'id': 2213, 'therapyName': 'MEK162 + Carboplatin + Pemetrexed'}]","A Phase I/Ib Study of MEK162, a MEK Inhibitor, in Combination With Carboplatin and Pemetrexed in Patients With Non-squamous Carcinoma of the Lung",10/08/2016,"[{'molecularProfile': {'id': 343, 'profileName': 'EGFR wild-type'}, 'requirementType': 'required'}, {'molecularProfile': {'id': 1248, 'profileName': 'ALK rearrange'}, 'requirementType': 'excluded'}]",yes
0,both,"[{'id': 1909, 'name': 'melanoma', 'source': 'DOID'}]",NCT02186249,Phase III,No longer available,Bristol-Myers Squibb,"[{'id': 1627, 'therapyName': 'Nivolumab + Ipilimumab'}]",Expanded Access Program With Nivolumab (BMS-936558) in Combination With Ipilimumab (Yervoy®) in Anti-CTLA-4 Treatment-Naïve Subjects With Unresectable or Metastatic Melanoma (CheckMate 218),02/10/2017,[],no
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT02186301,Phase II,Terminated,"Clovis Oncology, Inc.","[{'id': 1003, 'therapyName': 'CO1686'}, {'id': 4, 'therapyName': 'Erlotinib'}]",TIGER-1: Safety and Efficacy Study of Rociletinib (CO-1686) or Erlotinib in Patients With EGFR Mutant NSCLC Who Have Not Had Any Previous EGFR Directed Therapy,09/09/2017,"[{'molecularProfile': {'id': 423, 'profileName': 'EGFR act mut'}, 'requirementType': 'required'}, {'molecularProfile': {'id': 4039, 'profileName': 'EGFR exon 20 ins'}, 'requirementType': 'excluded'}]",yes
0,both,"[{'id': 3070, 'name': 'malignant glioma', 'source': 'DOID'}, {'id': 4813, 'name': 'adult brain stem glioma', 'source': 'DOID'}]",NCT02186509,Phase I,Recruiting,Thomas Jefferson University,"[{'id': 626, 'therapyName': 'Alisertib'}]",Alisertib and Fractionated Stereotactic Radiosurgery in Treating Patients With Recurrent High Grade Gliomas,02/02/2015,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}, {'id': 2531, 'name': 'hematologic cancer', 'source': 'DOID'}]",NCT02186821,Phase II,Completed,Novartis Pharmaceuticals ,"[{'id': 789, 'therapyName': 'Ceritinib'}]",Ceritinib (LDK378) for Patients Whose Tumors Have Aberrations in ALK or ROS1 (SIGNATURE),11/30/2016,"[{'molecularProfile': {'id': 2097, 'profileName': 'ROS1 amp'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1760, 'profileName': 'ALK amp'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1676, 'profileName': 'ROS1 mutant'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1267, 'profileName': 'ALK mutant'}, 'requirementType': 'partial'}]",yes
0,both,"[{'id': 9538, 'name': 'multiple myeloma', 'source': 'DOID'}]",NCT02186834,Phase Ib/II,"Active, not recruiting",H. Lee Moffitt Cancer Center and Research Institute,"[{'id': 3356, 'therapyName': 'Dexamethasone + pegylated liposomal-doxorubicin + Selinexor'}]",Selinexor (KPT-330) and Pegylated Liposomal Doxorubicin For Relapsed and Refractory Multiple Myeloma,10/05/2017,[],no
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT02186847,Phase II,"Active, not recruiting",NRG Oncology ,"[{'id': 1031, 'therapyName': 'Metformin'}, {'id': 1124, 'therapyName': 'Paclitaxel + Carboplatin'}]",Chemotherapy and Radiation Therapy With or Without Metformin Hydrochloride in Treating Patients With Stage III Non-small Cell Lung Cancer,12/23/2016,[],no
0,both,"[{'id': 4450, 'name': 'renal cell carcinoma', 'source': 'DOID'}]",NCT02187302,Phase II,Completed,Cerulean Pharma Inc. ,"[{'id': 1213, 'therapyName': 'CRLX101 + Bevacizumab'}]",CRLX101 in Combination With Bevacizumab for Metastatic Renal Cell Carcinoma (mRCC) Versus Standard of Care (SOC),04/21/2017,[],no
0,,"[{'id': 60079, 'name': 'Her2-receptor positive breast cancer', 'source': 'DOID'}]",NCT02187744,Phase III,Completed,Pfizer,"[{'id': 1485, 'therapyName': 'Trastuzumab + Docetaxel + Carboplatin'}]",A Study Of PF-05280014 Or Trastuzumab Plus Taxotere&#174; And Carboplatin In HER2 Positive Breast Cancer In The Neoadjuvant Setting (REFLECTIONS B327-04),05/03/2016,"[{'molecularProfile': {'id': 1270, 'profileName': 'ERBB2 over exp'}, 'requirementType': 'required'}]",yes
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}, {'id': 2531, 'name': 'hematologic cancer', 'source': 'DOID'}]",NCT02187783,Phase II,"Active, not recruiting",Novartis Pharmaceuticals,"[{'id': 790, 'therapyName': 'Ribociclib'}]",LEE011 for Patients With CDK4/6 Pathway Activated Tumors (SIGNATURE),09/10/2016,"[{'molecularProfile': {'id': 4974, 'profileName': 'CDKN2A mutant'}, 'requirementType': 'partial'}]",yes
0,both,"[{'id': 50873, 'name': 'follicular lymphoma', 'source': 'DOID'}]",NCT02187861,Phase II,"Active, not recruiting",Hoffmann-La Roche ,"[{'id': 2323, 'therapyName': 'Bendamustine + Rituximab'}, {'id': 3637, 'therapyName': 'Bendamustine + GDC-0199 + Rituximab'}, {'id': 3937, 'therapyName': 'GDC-0199 + Rituximab'}]",A Study Evaluating the Safety and Efficacy of GDC-0199 (ABT-199) Plus Bendamustine + Rituximab (BR) in Comparison With BR or GDC-0199 Plus Rituximab in Patients With Relapsed and Refractory Follicular Non-Hodgkin's Lymphoma,05/06/2016,[],no
0,female,"[{'id': 60080, 'name': 'Her2-receptor negative breast cancer', 'source': 'DOID'}]",NCT02187991,Phase II,Recruiting,US Oncology Research,"[{'id': 626, 'therapyName': 'Alisertib'}, {'id': 1103, 'therapyName': 'Paclitaxel'}]",Study to Compare Alisertib With Paclitaxel vs. Paclitaxel Alone in Metastatic or Locally Recurrent Breast Cancer,07/09/2015,"[{'molecularProfile': {'id': 1184, 'profileName': 'ERBB2 neg'}, 'requirementType': 'required'}]",yes
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT02188264,Phase I,"Active, not recruiting",National Cancer Institute (NCI),"[{'id': 1650, 'therapyName': 'Cyclosporine'}, {'id': 913, 'therapyName': 'Selumetinib'}]",Selumetinib and Cyclosporine in Treating Patients With Advanced Solid Tumors or Advanced or Metastatic Colorectal Cancer,06/20/2017,[],no
0,both,"[{'id': 9538, 'name': 'multiple myeloma', 'source': 'DOID'}]",NCT02188368,Phase II,Recruiting,Oncotherapeutics,"[{'id': 1625, 'therapyName': 'Bortezomib + Carfilzomib + Clarithromycin'}, {'id': 1674, 'therapyName': 'Doxil + Pomalidomide'}, {'id': 1622, 'therapyName': 'Pomalidomide'}]",Pomalidomide for Lenalidomide for Failures,03/11/2016,[],no
0,female,"[{'id': 1963, 'name': 'fallopian tube carcinoma', 'source': 'DOID'}, {'id': 2152, 'name': 'ovary epithelial cancer', 'source': 'DOID'}, {'id': 1380, 'name': 'endometrial cancer', 'source': 'DOID'}, {'id': 1791, 'name': 'peritoneal carcinoma', 'source': 'DOID'}]",NCT02188550,Phase II,Unknown status,Sinai Hospital of Baltimore,"[{'id': 1621, 'therapyName': 'Everolimus + Letrozole'}]",Single Arm Trial With Combination of Everolimus and Letrozole in Treatment of Platinum Resistant Relapse or Refractory or Persistent Ovarian Cancer/Endometrial Cancer,06/20/2017,[],no
0,both,"[{'id': 1240, 'name': 'leukemia', 'source': 'DOID'}]",NCT02188706,Phase II,"Active, not recruiting",M.D. Anderson Cancer Center,"[{'id': 650, 'therapyName': 'Decitabine'}, {'id': 1608, 'therapyName': 'Decitabine + Carboplatin'}, {'id': 1609, 'therapyName': 'Decitabine + Arsenic trioxide '}]","A Leukemia SPORE Phase II Clinical Trial Comparing Decitabine Versus Decitabine/Carboplatin and Decitabine/Arsenic for the Treatment of Relapsed, Refractory, and Elderly Acute Myeloid Leukemia (AML) and Myelodysplastic Syndrome (MDS)",06/05/2015,[],no
0,female,"[{'id': 60080, 'name': 'Her2-receptor negative breast cancer', 'source': 'DOID'}]",NCT02188745,Phase II,Recruiting,Dartmouth-Hitchcock Medical Center,"[{'id': 738, 'therapyName': 'Exemestane'}, {'id': 1643, 'therapyName': 'Estradiol'}, {'id': 633, 'therapyName': 'Anastrozole'}, {'id': 794, 'therapyName': 'Letrozole'}]",ER Reactivation Therapy for Breast Cancer,12/09/2015,"[{'molecularProfile': {'id': 1184, 'profileName': 'ERBB2 neg'}, 'requirementType': 'required'}]",yes
